Container ID	Container number	Segment ID	Segment name	Slot 1–8	Container name	Target count	Selected parameter names (pipe-delimited)	Reserve count	Reserve parameter names (pipe-delimited)	Selected start sequence	Selected end sequence	Reserve start sequence	Reserve end sequence	Container scope	Container interpretation	Main filters/modulators	Source path	Selection note
CON-011	11.0	SEG-02	Perception and Body Representation	3.0	Somatosensory Perception	28.0	Light touch|Deep pressure|Vibration sensing|Texture discrimination|Two-point discrimination|Temperature (warm)|Temperature (cold)|Fine tactile acuity|Tactile localisation|Stretch sensing|Proprioception (limb position)|Kinesthesia (movement sense)|Joint-angle sensing|Muscle-length sensing|Muscle-tension sensing|Force/effort sensing|Weight perception|Grip-force feedback|Slip detection|Object shape by touch (haptics)|Active tactile exploration|Tactile object recognition|Contact detection|Vibrotactile pattern coding|Wetness/moisture inference|Softness/compliance sensing|Tickle sensing|Tactile attention	12.0	Tactile prediction|Tactile masking|Body-surface mapping|Peripersonal-space touch|Affective (pleasant) touch|Social-touch coding|Pain-touch interaction|Numbness/loss detection|Phantom-sensation processing|Tactile adaptation|Skin-stretch direction|Balance-linked skin cues	305.0	332.0	97.0	108.0	Touch, pressure, vibration, temperature, texture, limb position, movement sense, physical contact	Provides both environmental information and continuous feedback about the body.	Attention, injury, body location, emotional state, expectation, neurological condition	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-012	12.0	SEG-02	Perception and Body Representation	4.0	Smell, Taste and Chemical Sensing	24.0	Odour detection|Odour identification|Odour discrimination|Odour intensity coding|Smell adaptation|Hedonic (pleasant/unpleasant) odour|Odour-memory linkage|Trigeminal chemesthesis|Pheromone/social-chemical sensing|Sweetness|Sourness|Saltiness|Bitterness|Umami/savoury|Fat perception|Metallic taste|Astringency|Flavour integration (smell+taste)|Retronasal olfaction|Spiciness/pungency (heat)|Cooling (menthol) sensing|Carbonation sensing|Temperature-taste interaction|Texture-flavour interaction	16.0	Appetite signalling|Craving induction|Contamination/spoilage detection|Poison/toxin aversion|Disgust induction|Nausea-linked aversion learning|Satiety-specific taste shift|Taste threshold setting|Smell threshold setting|Anosmia/loss detection|Culture-shaped preference|Prior-exposure preference|Odour-source localisation|Flavour expertise (tasters)|Aroma anticipation|Chemical-warning response	333.0	356.0	109.0	124.0	Odour identification, flavour, sweetness, bitterness, contamination detection, appetite signalling, memory-linked smell, aversion	Strongly connected with memory, appetite, threat avoidance and emotional association.	Hunger, illness, culture, prior exposure, hormones, age, expectation	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 24 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-013	13.0	SEG-02	Perception and Body Representation	5.0	Multisensory Integration	32.0	Sight-sound binding|Touch-vision binding|Audio-tactile binding|Temporal alignment|Spatial alignment|Source matching (common cause)|Causal-inference (bind vs separate)|Reliability weighting|Optimal (Bayesian) cue combination|Sensory conflict detection|Conflict resolution|Visual capture (ventriloquism)|McGurk-type audiovisual fusion|Cross-modal prediction|Cross-modal attention|Multisensory enhancement|Redundancy gain|Synchrony detection|Lag/asynchrony tolerance|Modality dominance shifting|Sensory reweighting|Body-signal integration|Self-vs-external attribution|Peripersonal-space integration|Audio-visual speech integration|Rhythm cross-modal coupling|Sensory substitution use|Cross-modal memory binding|Emotional cross-modal congruence|Spatial ventriloquism|Temporal ventriloquism|Multisensory object formation	8.0	Recalibration after conflict|Prior-belief weighting|Uncertainty-driven fusion|Sensory-gap filling|Coherent-percept construction|Modality-appropriate routing|Cross-modal illusions|Integration under impairment	357.0	388.0	125.0	132.0	Sight-sound binding, touch-vision binding, timing alignment, source matching, sensory conflict resolution, cross-modal prediction	Produces one coherent experience from multiple incomplete and sometimes conflicting signals.	Timing, reliability of each sense, attention, context, prior belief, sensory impairment	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-014	14.0	SEG-02	Perception and Body Representation	6.0	Salience and Orienting	28.0	Bottom-up salience|Top-down relevance|Novelty detection|Threat capture|Reward capture|Sudden-onset capture|Motion capture|Loud/bright capture|Name/self-relevant capture|Emotional-stimulus capture|Change detection|Oddball detection|Deviance detection|Relevance assignment|Priority mapping|Attentional reorienting|Reflexive orienting|Voluntary orienting|Gaze cueing|Head/eye orienting|Alerting response|Orienting response|Habituation to repeats|Dishabituation on change|Distractor filtering|Salience suppression|Value-driven attention|Reward-history bias	12.0	Fear-history bias|Curiosity-driven orienting|Surprise signalling|Prediction-error salience|Contextual salience|Social-cue salience|Goal-modulated salience|Interrupt handling|Re-prioritisation|Salience-network engagement|Pop-out detection|Attentional-capture resistance	389.0	416.0	133.0	144.0	Novelty detection, threat capture, reward capture, name detection, change detection, relevance assignment, attentional reorientation	Determines what receives priority before detailed reasoning begins.	Personal goals, fear, reward history, trauma, novelty, social meaning, current task	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-015	15.0	SEG-02	Perception and Body Representation	7.0	Body Schema, Body Image and Ownership	32.0	Limb-position representation|Body-part localisation|Postural body schema|Body-boundary representation|Body-ownership sense|Sense of agency (bodily)|Body size/scale representation|Body-shape representation|Peripersonal-space map|Reaching-space calibration|Tool-extended body schema|Body-midline representation|Left-right body coding|Body-surface map|Body image (perceptual)|Body image (attitudinal/evaluative)|Body satisfaction/dissatisfaction|Self-other bodily distinction|Multisensory ownership binding|Proprioceptive drift|Rubber-hand-type susceptibility|Out-of-body/vestibular integration|Full-body ownership|Facial self-representation|Body-schema updating|Posture representation|Movement-space representation|Body-in-mirror recognition|Weight/heaviness body sense|Body-temperature map|Interoceptive body-self|Body-schema plasticity	8.0	Prosthetic incorporation|Phantom-limb representation|Body-scaled affordance sizing|Personal-space regulation|Body-comparison (social)|Culture-shaped body ideal|Body-related emotion|Body-representation disturbance	417.0	448.0	145.0	152.0	Limb location, body boundary, body ownership, body size, body image, peripersonal space, posture representation, self-other bodily distinction	Separates “my body,” “near my body,” and “external object.” Body image adds beliefs and evaluation.	Vision, touch, culture, injury, social comparison, trauma, movement, body beliefs	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-016	16.0	SEG-02	Perception and Body Representation	8.0	Spatial, Temporal and Environmental Mapping	28.0	Egocentric spatial coding|Allocentric (map) coding|Direction/heading sense|Distance estimation|Path integration|Route planning|Landmark recognition|Landmark-based navigation|Cognitive-map formation|Place representation|Boundary representation|Object-location memory|Spatial updating (self-motion)|Grid/metric spatial coding|Scene layout representation|Near-vs-far space coding|Vertical/gravity reference|Vestibular spatial input|Reorientation after disorientation|Environmental familiarity coding|Duration estimation|Interval timing|Temporal-order coding|Sequence representation|Rhythmic timing|Time-of-day sense|Elapsed-time tracking|Temporal prediction	12.0	Event-boundary detection|Event segmentation|Timeline/chronology building|Speed-distance-time integration|Spatial memory|Temporal memory|Environmental-change detection|Hazard/danger mapping|Affordance mapping (of place)|What-comes-next prediction|Multi-scale mapping (room→city)|Actionable world-model construction	449.0	476.0	153.0	164.0	Direction, distance, route planning, landmark use, object location, event order, duration estimation, environmental layout	Combines “where,” “when,” “how far,” and “what comes next” into an actionable world model.	Familiarity, attention, emotion, speed, age, sensory cues, culture, stress	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-017	17.0	SEG-03	Sensorimotor Action and Physical Execution	1.0	Action Readiness and Affordance Detection	32.0	Reachability sensing|Graspability detection|Sittability/support detection|Passability (gap) detection|Climbability estimation|Escape-route detection|Obstacle detection|Hazard detection|Available-action sensing|Opportunity recognition|Action-possibility mapping|Object-use affordance|Handle/edge detection|Tool-affordance recognition|Body-scaled affordance sizing|Posture-preparation readiness|Stance adjustment|Pre-movement readiness|Motor priming|Response preparation|Anticipatory postural set|Grip-type pre-selection|Approach-affordance sensing|Avoidance-affordance sensing|Throwability/aim sensing|Catchability estimation|Weight-based action estimate|Surface-traction sensing|Balance-affordance sensing|Manipulability sensing|Reach-envelope calibration|Two-handed action sensing	8.0	Force-requirement estimate|Timing-window detection|Interception feasibility|Action-cost estimation|Readiness-potential build-up|Go/no-go pre-setting|Environmental-constraint sensing|Opportunity-vs-risk weighing	477.0	508.0	165.0	172.0	Reachability, graspability, escape route, obstacle detection, available-action sensing, readiness, posture preparation, opportunity recognition	Detects what actions are presently possible before selecting one.	Body position, environment, skill, fear, fatigue, goals, object familiarity	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-018	18.0	SEG-03	Sensorimotor Action and Physical Execution	2.0	Motor Planning and Sequencing	28.0	Movement-goal specification|Endpoint targeting|Trajectory planning|Path optimisation|Movement-sequence ordering|Step decomposition|Timing planning|Rhythm/tempo planning|Force planning|Amplitude scaling|Direction specification|Effector selection (which limb)|Bimanual coordination planning|Interlimb sequencing|Grip-configuration planning|Reach-to-grasp planning|Anticipatory adjustment|Feedforward model construction|Motor-program retrieval|Motor-program assembly|Coarticulation planning|Sequence chunking|Serial-order encoding|Movement-parameter setting|Postural-support planning|Obstacle-avoidance planning|Speed-accuracy trade-off setting|Preparation-time allocation	12.0	Sub-movement segmentation|Corrective-move pre-planning|Dual-task motor planning|Timing-window alignment|Load-anticipation planning|Multi-step choreography|Contingency motor plan|Plan-hold in working memory|Plan updating on new info|Rehearsal (mental practice)|Sequence-boundary marking|Intended-outcome encoding	509.0	536.0	173.0	184.0	Movement objective, step order, trajectory, force planning, timing, bilateral coordination, sequence preparation	Converts an intended physical outcome into an ordered movement programme.	Skill, object properties, time pressure, fatigue, injury, attention	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-019	19.0	SEG-03	Sensorimotor Action and Physical Execution	3.0	Motor Execution and Control	32.0	Force generation|Force grading|Speed control|Acceleration control|Deceleration/braking|Precision control|Fine-motor control|Gross-motor control|Muscle recruitment|Motor-unit modulation|Agonist activation|Antagonist co-contraction|Synergy activation|Timing execution|Rhythmic execution|Movement continuation|Movement termination|Grip-force control|Load-force coupling|Trajectory following|Endpoint stabilisation|Tremor suppression|Smoothness/jerk minimisation|Online correction|Reflex integration|Stretch-reflex modulation|Postural-tone control|Limb stiffness setting|Impedance control|Bimanual synchrony|Interlimb coupling|Eye-hand coordination	8.0	Tool control|Contact-force regulation|Fatigue compensation|Perturbation resistance|Speed-accuracy execution|Automatic-vs-controlled execution|Effort modulation|Execution-under-stress control	537.0	568.0	185.0	192.0	Force generation, speed, precision, muscle recruitment, movement continuation, movement stopping, fine control, gross control	Executes the selected plan while continuously adjusting movement.	Strength, fatigue, injury, stress, practice, feedback, environment	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-020	20.0	SEG-03	Sensorimotor Action and Physical Execution	4.0	Action Selection and Initiation	28.0	Competing-action comparison|Option valuation|Response-threshold setting|Evidence accumulation|Decision-boundary crossing|Go decision|No-go inhibition|Action suppression|Start-timing selection|Urgency signalling|Readiness release|Response priming|Prepotent-response override|Choice between effectors|Approach-vs-avoid selection|Speed-vs-caution setting|Commitment to action|Point-of-no-return marking|Hesitation/braking|Reactive stopping|Proactive stopping|Action switching|Response reprogramming|Countermanding|Selection under conflict|Selection under time pressure|Habitual-vs-goal arbitration|Value-based initiation	12.0	Cue-triggered initiation|Volitional (self-paced) initiation|Free-choice selection|Default-action bias|Risk-weighted selection|Social-permission gating|Confidence-in-choice|Selection persistence|Re-selection after error|Interrupt-and-reselect|Latency modulation|Initiation-failure detection	569.0	596.0	193.0	204.0	Competing-action comparison, response threshold, start decision, action suppression, urgency, readiness release	Answers: “Which action should begin now?”	Reward, threat, habit, instruction, hesitation, social permission, confidence	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-021	21.0	SEG-03	Sensorimotor Action and Physical Execution	5.0	Coordination, Balance and Posture	24.0	Static balance|Dynamic balance|Postural stability|Centre-of-mass control|Base-of-support use|Anticipatory postural adjustment|Reactive postural response|Weight shifting|Gait initiation|Gait rhythm|Stride control|Step adaptation|Stance-phase control|Swing-phase control|Turning control|Stopping control|Equilibrium maintenance|Righting reactions|Protective stepping|Fall prevention|Vestibular-postural integration|Visual-postural integration|Proprioceptive-postural integration|Head stabilisation	16.0	Trunk control|Eye-head coordination|Limb coordination|Postural sway regulation|Multi-joint coordination|Load-carrying balance|Uneven-terrain adaptation|Dual-task balance|Postural tone regulation|Sitting balance|Standing balance|Reaching-while-standing control|Perturbation recovery|Coordination timing|Rhythmic entrainment (walking)|Balance-confidence calibration	597.0	620.0	205.0	220.0	Stability, equilibrium, gait, posture, eye-head coordination, limb coordination, corrective balance	Maintains bodily stability while perception and action continue.	Surface, vision, vestibular input, fatigue, age, illness, intoxication	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 24 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-022	22.0	SEG-03	Sensorimotor Action and Physical Execution	6.0	Procedural Skill and Automatization	28.0	Repetition learning|Practice-based improvement|Movement chunking|Sequence compression|Speed improvement|Error reduction|Consistency increase|Variability reduction|Automatic execution|Reduced attentional demand|Skill retention|Skill transfer|Motor-schema formation|Fluency development|Timing refinement|Coordination refinement|Anticipation development|Feedforward reliance shift|Feedback-to-feedforward transition|Cognitive-to-autonomous stage shift|Skill generalisation|Context-specific tuning|Overlearning|Skill decay/forgetting|Relearning speed|Interference between skills|Dual-task automaticity|Effort-cost reduction	12.0	Motor-memory consolidation|Sleep-dependent skill gain|Spacing effects|Blocked-vs-random practice tuning|Feedback-schedule tuning|Skill ceiling/plateau|Expertise-specific chunking|Habit formation (motor)|Automatic-error slips|De-automatization under stress|Skill re-acquisition|Procedural fluency	621.0	648.0	221.0	232.0	Repetition learning, movement chunking, speed improvement, error reduction, automatic execution, sequence retention	Converts effortful performance into faster, less consciously demanding action.	Practice quality, feedback, sleep, motivation, injury, task consistency	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-023	23.0	SEG-03	Sensorimotor Action and Physical Execution	7.0	Imitation, Gesture and Tool Manipulation	28.0	Action observation|Action understanding|Goal inference (of action)|Movement mapping (observe→execute)|Direct imitation|Delayed imitation|Emulation (goal copying)|Mimicry|Over-imitation|Selective imitation|Gesture recognition|Gesture production|Iconic-gesture use|Deictic (pointing) gesture|Symbolic-gesture use|Co-speech gesture|Hand-shape matching|Grip selection for objects|Tool identification|Tool-function inference|Tool-use planning|Tool manipulation|Object-affordance use|Bimanual object use|Demonstration following|Instruction-to-action mapping|Motor resonance|Mirror-response engagement	12.0	Sequence copying|Timing copying|Style/kinematics copying|Corrective imitation|Novel-tool problem solving|Object-substitution use|Pantomime production|Skill acquisition by watching|Cultural-technique copying|Manual dexterity|Precision-grip control|Power-grip control	649.0	676.0	233.0	244.0	Action observation, imitation, gesture production, object-use learning, hand-shape matching, demonstration following	Supports learning from others and using objects as extensions of action.	Social attention, familiarity, culture, motor capacity, intention understanding	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-024	24.0	SEG-03	Sensorimotor Action and Physical Execution	8.0	Sensorimotor Feedback and Error Correction	28.0	Efference-copy generation|Forward-model prediction|Predicted-sensation computation|Actual-sensation comparison|Sensory-prediction error|Visual feedback use|Proprioceptive feedback use|Tactile feedback use|Auditory feedback use|Movement-error detection|Direction-error correction|Amplitude-error correction|Timing-error correction|Force-error correction|Online (fast) correction|Feedback-loop delay handling|Reflexive correction|Voluntary correction|Trajectory adjustment|Endpoint correction|Grip-force adjustment|Slip-triggered correction|Recalibration (adaptation)|Aftereffect formation|Visuomotor adaptation|Force-field adaptation|Prism/perturbation adaptation|Error-based learning	12.0	Reward-based motor learning|Use-dependent learning|Sensory reweighting|Gain adjustment|Motor-noise compensation|Corrective sub-movements|Anticipatory correction|Detection-vs-correction distinction|Adaptation retention|De-adaptation/washout|Credit assignment (which error)|Closed-loop stabilisation	677.0	704.0	245.0	256.0	Expected-result comparison, movement error detection, force correction, timing correction, recalibration, adaptation	Runs a rapid Point Zero → action → actual outcome → correction loop.	Feedback delay, sensory reliability, fatigue, practice, injury, attention	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-025	25.0	SEG-04	Attention and Executive Control	1.0	Selective Attention	32.0	Target selection|Goal-based selection|Feature-based selection|Object-based selection|Spatial-focus selection|Distractor suppression|Filtering (early)|Filtering (late)|Attentional-gain control|Spotlight focusing|Zoom (focus breadth) control|Relevance maintenance|Priority weighting|Attentional set|Set maintenance|Set switching|Attentional capture resistance|Inhibition of return|Attentional blink handling|Load-dependent filtering|Perceptual-load modulation|Cross-modal selection|Colour/shape/motion selection|Conjunction search control|Guided visual search|Attentional template|Feature-integration binding|Suppression of salient distractors|Top-down bias signalling|Contextual cueing|Statistical-regularity learning|Reward-modulated selection	8.0	Emotion-modulated selection|Attentional cueing (endogenous)|Attentional cueing (exogenous)|Focus stability|Refocusing after lapse|Attention narrowing (stress)|Selective listening|Selective looking	705.0	736.0	257.0	264.0	Target selection, distractor suppression, feature selection, spatial focus, goal-based focus, relevance maintenance	Selects one stream for deeper processing while reducing competing input.	Salience, motivation, fatigue, noise, anxiety, task demand, expertise	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-026	26.0	SEG-04	Attention and Executive Control	2.0	Sustained Attention and Vigilance	28.0	Continued monitoring|Alertness maintenance|Signal detection|Rare-target detection|Watch-keeping|Mind-wandering resistance|On-task maintenance|Lapse detection|Attentional-lapse recovery|Vigilance-decrement resistance|Time-on-task endurance|Arousal maintenance|Re-engagement after drift|Sustained focus|Concentration depth|Boredom resistance|Monotony tolerance|Perceptual sensitivity (d')|Response-criterion setting|False-alarm control|Miss-rate control|Effort mobilisation over time|Micro-break self-regulation|Fatigue-error suppression|Motivation maintenance|Reward-sustained attention|Threat-sustained attention|Task-relevant thought maintenance	12.0	Off-task-thought detection|Attentional stamina|Continuous-performance control|Slow-signal monitoring|Prolonged-search endurance|Standby readiness|Anticipatory monitoring|Drowsiness resistance|Wakefulness during monotony|Attention-restoration cycling|Self-alerting|Sustained multi-target tracking	737.0	764.0	265.0	276.0	Continued monitoring, alertness maintenance, signal detection, mind-wandering resistance, lapse detection	Maintains attention when important events are rare or delayed.	Boredom, sleep, duration, reward, stress, task frequency, environment	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-027	27.0	SEG-04	Attention and Executive Control	3.0	Divided Attention and Attention Switching	28.0	Dual-task management|Multi-task allocation|Resource sharing|Time-sharing|Priority switching|Task-set switching|Switch-cost management|Mixing-cost management|Interruption handling|Task resumption|Resumption-lag recovery|Reconfiguration of task set|Goal reactivation|Attention allocation ratio|Concurrent monitoring|Parallel-vs-serial arbitration|Bottleneck management|Response-selection queuing|Crosstalk suppression|Interference control (between tasks)|Prospective-memory-in-multitasking|Rapid re-prioritisation|Attention-splitting|Foreground/background juggling|Context reloading|Working-set swapping|Switch-readiness|Restart cost handling	12.0	Multi-stream tracking|Alternating attention|Load-balancing under pressure|Task-order optimisation|Deferred-task holding|Interruption-cost estimation|Recovery-after-distraction|Divided-listening|Divided-looking|Motor+cognitive concurrency|Attentional-overload detection|Graceful-degradation under load	765.0	792.0	277.0	288.0	Dual-task management, priority switching, interruption handling, resumption, attention allocation, switching cost	Humans normally switch rather than fully process many difficult tasks simultaneously.	Task similarity, complexity, practice, urgency, fatigue, working-memory load	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 28 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-028	28.0	SEG-04	Attention and Executive Control	4.0	Working Memory	40.0	Phonological (verbal) store|Articulatory rehearsal|Visuospatial sketchpad|Spatial-location store|Visual-object store|Episodic buffer|Central-executive control|Focus of attention (WM)|Active maintenance|Temporary storage|Information updating|Manipulation/transformation|Mental rehearsal|Serial-order maintenance|Binding (feature)|Binding (object-context)|Chunking|Capacity limit (span)|Attentional refreshing|Gating (in)|Gating (out)|Interference resolution|Proactive-interference control|Retroactive-interference control|Decay resistance|Recency handling|Primacy handling|Removal/clearing|Substitution/replacement|Prioritisation within WM|Retro-cue benefit|Load management|Dual-storage coordination|Verbal-spatial coordination|Retrieval into WM|Mental arithmetic support|Mental imagery holding|Sequence reproduction|Backward-span manipulation|Distraction-resistant holding	0.0		793.0	832.0			Temporary storage, mental updating, rehearsal, manipulation, sequencing, verbal holding, visual-spatial holding, interference control	Holds active information needed for immediate reasoning and action.	Load, distraction, stress, sleep, age, expertise, chunking	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 40 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-029	29.0	SEG-04	Attention and Executive Control	5.0	Inhibitory Control and Self-Control	36.0	Impulse suppression|Prepotent-response inhibition|Response stopping (stop-signal)|Response withholding (go/no-go)|Interference suppression|Distraction resistance|Cognitive inhibition|Motor inhibition|Emotional inhibition|Thought suppression|Prepotent-habit override|Temptation resistance|Delay of gratification|Reward-postponement|Craving control|Urge surfing|Rule maintenance under distraction|Proactive control|Reactive control|Conflict-driven inhibition|Attentional inhibition|Inhibition of return|Negative priming|Suppression of intrusive memories|Impulse-vs-goal arbitration|Self-monitoring for slips|Restraint under provocation|Latency-of-response control|Countermanding|Selective suppression|Global suppression|Effortful control|Self-regulation of behaviour|Willpower deployment|Precommitment use|Environmental self-control	4.0	Automatic-response veto|Inhibition fatigue|Inhibition recovery|Value-guided restraint	833.0	868.0	289.0	292.0	Impulse suppression, response stopping, distraction resistance, emotional inhibition, delayed gratification, rule maintenance	Suppresses a dominant response when another goal has higher priority.	Reward size, fatigue, stress, habit strength, social monitoring, values	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 36 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
CON-030	30.0	SEG-04	Attention and Executive Control	6.0	Cognitive Flexibility	32.0	Perspective shifting|Rule switching|Task-set shifting|Strategy change|Category switching|Dimension switching|Set-shifting (attentional)|Reframing|Reinterpretation|Updating after failure|Belief revision (small-scale)|Response-mapping change|Mental-set breaking|Fixation escape (functional)|Divergent re-approach|Alternative-generation|Switching between representations|Abstraction-level shifting|Zoom in/out (detail↔big-picture)|Flexible-rule application|Context-dependent switching|Adaptive-strategy selection|Exploration-vs-exploitation shift|Cognitive-load-tolerant switching|Rapid re-planning|Assumption dropping|Frame switching|Multiple-solution holding|Ambiguity re-parsing|Recovery from wrong track|Switching cost tolerance|Novel-situation adaptation	8.0	Cross-domain transfer|Analogical re-mapping|Overcoming perseveration|Flexible goal adjustment|Openness-to-alternatives|Feedback-driven switching|Creative reconfiguration|Adaptive rigidity balance	869.0	900.0	293.0	300.0	Perspective shifting, rule switching, strategy change, category switching, updating after failure, reframing	Allows the person to leave a failing interpretation or strategy.	Rigidity, stress, expertise, uncertainty, emotional investment, time pressure	05_PARAMETER_PYRAMID/ASI_Claude_Parameters.docx	Target 32 from corrected 2,560 architecture. Exact names are carried from the 3,204-name ASI_Claude_Parameters v1.0 source in source order. Any source names above the target are preserved in Held Reserve. Six visible candidates are separately marked in Core Reasoning because its target is 48 while the exact source list contains 42 names.
