Fact Check Register — Brain Tests 001–002 and Node Sync

Fact ID	Claim/issue	Finding	Brain rule	Evidence strength	Source	URL	Status
FC-011	Task interruptions can increase vulnerability to resumption errors, and timing within a task affects resumption cost.	Supported across experimental interruption studies.	Prefer opportune interruption points or explicit checkpointing for complex tasks.	CONTROLLED STUDIES	Resumption costs and opportune interruption timing	https://pmc.ncbi.nlm.nih.gov/articles/PMC10896823/ ; https://pmc.ncbi.nlm.nih.gov/articles/PMC11775001/	SUPPORTED
FC-012	The same helping behaviour proves one motive such as compassion, obligation or job insecurity.	Not supported. Autonomous and controlled motivations are distinct and behaviour can reflect mixed motives.	Keep prosocial, obligation, authority pressure, reciprocity and impression motives as evidence-graded alternatives.	META-ANALYSIS	Self-Determination Theory and Workplace Outcomes	https://pmc.ncbi.nlm.nih.gov/articles/PMC12887546/	DO NOT INFER ONE MOTIVE
FC-013	Urgent wording or a shorter window proves a task is more important.	Not supported. Five experiments documented a mere urgency effect in which people selected objectively lower-payoff tasks because of spurious urgency.	Separate urgency language/window from importance, consequence and reversibility.	CONTROLLED EXPERIMENTS	The Mere Urgency Effect	https://academic.oup.com/jcr/article/45/3/673/4847790	DO NOT EQUATE URGENCY WITH IMPORTANCE
FC-014	Workplace task priority is determined by one factor such as authority or urgency.	Not supported. A review found effects from task length, urgency, importance, procedure, reward, context and task source, with limitations in the evidence base.	Use multi-attribute ranking and retain uncertainty.	SYSTEMATIC REVIEW	Factors affecting individual task prioritisation in a workplace setting	https://pmc.ncbi.nlm.nih.gov/articles/PMC6502562/	SUPPORTED WITH LIMITS
FC-015	An authority command causes uniform obedience or proves the commanded option is correct.	Not supported. Experimental findings show authority effects vary with expertise, continued presence, command target and cognitive resources.	Verify authority scope, information and consequence ownership; do not hardcode obedience or resistance.	CONTROLLED EXPERIMENTS	When authorities’ commands backfire	https://pubmed.ncbi.nlm.nih.gov/16248716/	SUPPORTED WITH LIMITS
FC-016	Valid media provenance proves the depicted claim is true.	Not supported. C2PA states provenance can verify origin/history and tamper evidence but cannot by itself establish factual truth.	Use provenance together with canonical-source verification, context and fact-checking.	TECHNICAL STANDARD	C2PA Specifications 2.4	https://spec.c2pa.org/specifications/	DO NOT EQUATE PROVENANCE WITH TRUTH
FC-017	Absence of Content Credentials proves an asset is false.	Not supported. C2PA notes that missing credentials do not automatically make content untrustworthy.	Treat credentials as one evidence channel; preserve uncertainty.	TECHNICAL STANDARD	C2PA Harms Modelling	https://c2pa.org/specifications/specifications/2.0/security/Harms_Modelling.html	DO NOT INFER FALSE FROM ABSENCE
FC-018	One media detector can provide final true/false certainty.	Not supported. NIST evaluates distinct manipulation, deepfake, steganography and provenance tasks for accuracy and robustness.	Store detector, version, task, score and error limits separately.	GOVERNMENT EVALUATION	NIST OpenMFC	https://mfc.nist.gov/	SUPPORTED WITH LIMITS
FC-019	OpenAI Evals datasets can be represented as JSONL records.	Supported. OpenAI Evals documentation describes one JSON object per line and schema-dependent input/reference fields.	Generate repo exports from the canonical meaning graph and retain record IDs in metadata.	OFFICIAL REPOSITORY	OpenAI Evals build-eval documentation	https://github.com/openai/evals/blob/main/docs/build-eval.md	SUPPORTED
FC-020	Qur’an 49:6 contains a verification-before-harm instruction.	Supported at the broad translation level; exact Arabic, translation and tafsir must remain separate.	Map narrowly to report verification before harmful action.	CANONICAL REFERENCE	Quran.com and Quranic Arabic Corpus	https://quran.com/en/49/6 ; https://corpus.quran.com/translation.jsp?chapter=49&verse=6	SUPPORTED WITH TRANSLATION CONTROL
FC-021	The common English rendering associated with SGGS Ang 62 has one uncontested final interpretation.	Not established. The locator and common translation are widely available, while interpretive disagreement exists.	Preserve Gurmukhi, translations and competing interpretations as parallel records; hold final ASI mapping for user review.	CANONICAL LOCATOR + INTERPRETIVE DISPUTE	SGGS Ang 62 sources	https://www.srigranth.org/servlet/gurbani.gurbani?Action=KeertanPage&K=62&L=11&id=2528	HELD FOR SOURCE-LAYER REVIEW
