Node ID	Node class	Exact wording / registered identity	Parent node ID	Side	Segment ID	Container ID	Aligned slot	Active status	Approval status	Source workbook/sheet	Source row	Source preservation	Notes
AI-CON-013	AI_CONTAINER_ID	AI parallel structural container 013 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-013		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-014	HUMAN_CONTAINER	Salience and Orienting	SEG-02	HUMAN	SEG-02	CON-014		ACTIVE	TASK 2 APPROVED	04 Containers 80	15	PRESERVED	Determines what receives priority before detailed reasoning begins.
AI-CON-014	AI_CONTAINER_ID	AI parallel structural container 014 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-014		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-015	HUMAN_CONTAINER	Body Schema, Body Image and Ownership	SEG-02	HUMAN	SEG-02	CON-015		ACTIVE	TASK 2 APPROVED	04 Containers 80	16	PRESERVED	Separates “my body,” “near my body,” and “external object.” Body image adds beliefs and evaluation.
AI-CON-015	AI_CONTAINER_ID	AI parallel structural container 015 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-015		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-016	HUMAN_CONTAINER	Spatial, Temporal and Environmental Mapping	SEG-02	HUMAN	SEG-02	CON-016		ACTIVE	TASK 2 APPROVED	04 Containers 80	17	PRESERVED	Combines “where,” “when,” “how far,” and “what comes next” into an actionable world model.
AI-CON-016	AI_CONTAINER_ID	AI parallel structural container 016 — exact wording held in canonical Task 3 source	AI-SEG-02	AI	AI-SEG-02	AI-CON-016		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-017	HUMAN_CONTAINER	Action Readiness and Affordance Detection	SEG-03	HUMAN	SEG-03	CON-017		ACTIVE	TASK 2 APPROVED	04 Containers 80	18	PRESERVED	Detects what actions are presently possible before selecting one.
AI-CON-017	AI_CONTAINER_ID	AI parallel structural container 017 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-017		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-018	HUMAN_CONTAINER	Motor Planning and Sequencing	SEG-03	HUMAN	SEG-03	CON-018		ACTIVE	TASK 2 APPROVED	04 Containers 80	19	PRESERVED	Converts an intended physical outcome into an ordered movement programme.
AI-CON-018	AI_CONTAINER_ID	AI parallel structural container 018 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-018		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-019	HUMAN_CONTAINER	Motor Execution and Control	SEG-03	HUMAN	SEG-03	CON-019		ACTIVE	TASK 2 APPROVED	04 Containers 80	20	PRESERVED	Executes the selected plan while continuously adjusting movement.
AI-CON-019	AI_CONTAINER_ID	AI parallel structural container 019 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-019		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-020	HUMAN_CONTAINER	Action Selection and Initiation	SEG-03	HUMAN	SEG-03	CON-020		ACTIVE	TASK 2 APPROVED	04 Containers 80	21	PRESERVED	Answers: “Which action should begin now?”
AI-CON-020	AI_CONTAINER_ID	AI parallel structural container 020 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-020		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-021	HUMAN_CONTAINER	Coordination, Balance and Posture	SEG-03	HUMAN	SEG-03	CON-021		ACTIVE	TASK 2 APPROVED	04 Containers 80	22	PRESERVED	Maintains bodily stability while perception and action continue.
AI-CON-021	AI_CONTAINER_ID	AI parallel structural container 021 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-021		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-022	HUMAN_CONTAINER	Procedural Skill and Automatization	SEG-03	HUMAN	SEG-03	CON-022		ACTIVE	TASK 2 APPROVED	04 Containers 80	23	PRESERVED	Converts effortful performance into faster, less consciously demanding action.
AI-CON-022	AI_CONTAINER_ID	AI parallel structural container 022 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-022		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-023	HUMAN_CONTAINER	Imitation, Gesture and Tool Manipulation	SEG-03	HUMAN	SEG-03	CON-023		ACTIVE	TASK 2 APPROVED	04 Containers 80	24	PRESERVED	Supports learning from others and using objects as extensions of action.
AI-CON-023	AI_CONTAINER_ID	AI parallel structural container 023 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-023		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-024	HUMAN_CONTAINER	Sensorimotor Feedback and Error Correction	SEG-03	HUMAN	SEG-03	CON-024		ACTIVE	TASK 2 APPROVED	04 Containers 80	25	PRESERVED	Runs a rapid Point Zero → action → actual outcome → correction loop.
AI-CON-024	AI_CONTAINER_ID	AI parallel structural container 024 — exact wording held in canonical Task 3 source	AI-SEG-03	AI	AI-SEG-03	AI-CON-024		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-025	HUMAN_CONTAINER	Selective Attention	SEG-04	HUMAN	SEG-04	CON-025		ACTIVE	TASK 2 APPROVED	04 Containers 80	26	PRESERVED	Selects one stream for deeper processing while reducing competing input.
AI-CON-025	AI_CONTAINER_ID	AI parallel structural container 025 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-025		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-026	HUMAN_CONTAINER	Sustained Attention and Vigilance	SEG-04	HUMAN	SEG-04	CON-026		ACTIVE	TASK 2 APPROVED	04 Containers 80	27	PRESERVED	Maintains attention when important events are rare or delayed.
AI-CON-026	AI_CONTAINER_ID	AI parallel structural container 026 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-026		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-027	HUMAN_CONTAINER	Divided Attention and Attention Switching	SEG-04	HUMAN	SEG-04	CON-027		ACTIVE	TASK 2 APPROVED	04 Containers 80	28	PRESERVED	Humans normally switch rather than fully process many difficult tasks simultaneously.
AI-CON-027	AI_CONTAINER_ID	AI parallel structural container 027 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-027		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-028	HUMAN_CONTAINER	Working Memory	SEG-04	HUMAN	SEG-04	CON-028		ACTIVE	TASK 2 APPROVED	04 Containers 80	29	PRESERVED	Holds active information needed for immediate reasoning and action.
AI-CON-028	AI_CONTAINER_ID	AI parallel structural container 028 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-028		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-029	HUMAN_CONTAINER	Inhibitory Control and Self-Control	SEG-04	HUMAN	SEG-04	CON-029		ACTIVE	TASK 2 APPROVED	04 Containers 80	30	PRESERVED	Suppresses a dominant response when another goal has higher priority.
AI-CON-029	AI_CONTAINER_ID	AI parallel structural container 029 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-029		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-030	HUMAN_CONTAINER	Cognitive Flexibility	SEG-04	HUMAN	SEG-04	CON-030		ACTIVE	TASK 2 APPROVED	04 Containers 80	31	PRESERVED	Allows the person to leave a failing interpretation or strategy.
AI-CON-030	AI_CONTAINER_ID	AI parallel structural container 030 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-030		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-031	HUMAN_CONTAINER	Executive Sequencing and Task Management	SEG-04	HUMAN	SEG-04	CON-031		ACTIVE	TASK 2 APPROVED	04 Containers 80	32	PRESERVED	Coordinates multiple cognitive and physical operations toward a result.
AI-CON-031	AI_CONTAINER_ID	AI parallel structural container 031 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-031		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-032	HUMAN_CONTAINER	Conflict, Error and Performance Monitoring	SEG-04	HUMAN	SEG-04	CON-032		ACTIVE	TASK 2 APPROVED	04 Containers 80	33	PRESERVED	Detecting an error and accepting an error are separate functions.
AI-CON-032	AI_CONTAINER_ID	AI parallel structural container 032 — exact wording held in canonical Task 3 source	AI-SEG-04	AI	AI-SEG-04	AI-CON-032		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-033	HUMAN_CONTAINER	Episodic Memory	SEG-05	HUMAN	SEG-05	CON-033		ACTIVE	TASK 2 APPROVED	04 Containers 80	34	PRESERVED	Stores “what happened to me, where and when.” It is reconstructive, not a perfect recording.
AI-CON-033	AI_CONTAINER_ID	AI parallel structural container 033 — exact wording held in canonical Task 3 source	AI-SEG-05	AI	AI-SEG-05	AI-CON-033		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-034	HUMAN_CONTAINER	Semantic Memory and General Knowledge	SEG-05	HUMAN	SEG-05	CON-034		ACTIVE	TASK 2 APPROVED	04 Containers 80	35	PRESERVED	Stores decontextualised knowledge without requiring recollection of the original learning event.
AI-CON-034	AI_CONTAINER_ID	AI parallel structural container 034 — exact wording held in canonical Task 3 source	AI-SEG-05	AI	AI-SEG-05	AI-CON-034		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-035	HUMAN_CONTAINER	Procedural and Habit Memory	SEG-05	HUMAN	SEG-05	CON-035		ACTIVE	TASK 2 APPROVED	04 Containers 80	36	PRESERVED	Can guide behaviour without conscious verbal recall.
AI-CON-035	AI_CONTAINER_ID	AI parallel structural container 035 — exact wording held in canonical Task 3 source	AI-SEG-05	AI	AI-SEG-05	AI-CON-035		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
CON-036	HUMAN_CONTAINER	Associative Learning and Conditioning	SEG-05	HUMAN	SEG-05	CON-036		ACTIVE	TASK 2 APPROVED	04 Containers 80	37	PRESERVED	Learns that one event predicts another, even without explicit reasoning.
AI-CON-036	AI_CONTAINER_ID	AI parallel structural container 036 — exact wording held in canonical Task 3 source	AI-SEG-05	AI	AI-SEG-05	AI-CON-036		ACTIVE-BY-REFERENCE	TASK 3 APPROVED	02 AI Parameter Registry Control	6	SOURCE-LOCKED	ID stable; wording not reconstructed.
