BT-002 — New Coworker Help Request vs Imminent Own Deadline

Section	Node / filter	Source status	Current finding	ASI connection / action	Confidence	Evidence / source	Node effect
ASI child	CTX-026 — Safety and operational criticality override	NEW CONTEXT CHILD	Immediate safety, clinical, security or operational harm overrides routine deadline protection.	AI must verify criticality rather than assume routine help.	Context child	Test 002	Override node
ASI child	CTX-027 — Prosocial, obligation and impression motive split	NEW CONTEXT CHILD	Separates care/help, duty, authority pressure, reciprocity, reputation and mixed motive hypotheses.	Human motive remains evidence-graded; AI may identify supporting context only.	Context child	Test 002	Sharpens CON-070/063
Fact check	Interruption cost	SUPPORTED	Interruptions can increase resumption lag, reduce accuracy and increase vulnerability to errors; longer or badly timed interruptions can have larger costs.	Use interruption position, task complexity and checkpoint availability.	High	PMC8247645; PMC10896823; PMC11775001	Supports CTX-025
Fact check	Motivation quality	SUPPORTED WITH LIMITS	Autonomous and controlled motivations are distinct; the same behaviour can arise from different or mixed reasons.	Do not label immediate helping as compassion, obligation or insecurity without evidence.	High	Self-Determination Theory workplace meta-analysis PMC12887546	Supports CTX-027
ASI synthesis	Fact-ranked decision	DERIVED	Given the stated facts, the coworker issue is routine and deferrable while the report deadline is imminent and critical.	Protect the report deadline; acknowledge the coworker; schedule help after submission or route them to an alternative.	High for this scenario	Facts + interruption evidence	Rank 1 outcome
Override branch	Switch now only if	CONDITIONAL	Switch immediately only if new evidence shows safety risk, essential operational blockage, severe consequence, manager-authorised reprioritisation or a truly sub-minute intervention with no deadline risk.	Re-run CTX-021…026 when new evidence appears.	Conditional	ASI rule	No hardcoded refusal
Non-inference	Empathy and character	LOCKED RULE	Deferring help is not proof of selfishness or lack of empathy; helping immediately is not proof of compassion.	Keep feeling, motive, intent and action separate.	High	Sourceborn control	Prevents moral overclaim
Output	Recommended action	TEST RESULT	Finish or safely checkpoint the critical report, send a brief acknowledgement, give a realistic help time, and assist or redirect after submission.	Example response: “I’m closing a 5 PM report. I’ll help immediately after submission; meanwhile, use X or contact Y if it blocks you.”	High	ASI synthesis	PASS
Gap found	Social request triage	STRUCTURAL GAP	Existing parameters cover empathy, priority and interruption, but the connection lacked a dedicated request-urgency/deferrability pathway.	CTX-021…027 added as context children; not counted inside the approved 2,560.	High	Test 002	Brain sharpened
Final status	BT-002	RECORDED	Example completed and stored as its own sheet.	Next example should test conflicting authority or misleading urgency.	Complete	2026-08-05 00:00:00	READY
