Project container	Original file name visible / known	Linked to	Layer map	Role	My raw meaning of file	Use	Why needed there	Actual contains now / expected content	Current problem if any	What should happen	Status	Demo or not	Word / Concept	Problem with word	Possible better word	Keep / Reject / Review	Why
Unreal to Real	05_Proof_and_Fact_Check_Status.md	03_Final_Theory_Source	Proof / fact status	Tracks what is proved, unproved, claim, theory	“Where proof is needed”	Avoid false claim	Needed for public safety	PF-0001 proof status	“Proof” can pressure theory too early	Use labels: Fact / Inference / Review / Not proved	Review-stage	No	Proof	Too final for some source ideas	Proof Need Map	Review	Better as need/status, not final proof
Unreal to Real	06_Risk_and_Distortion_Flags.md	03_Final_Theory_Source	Risk flags	Flags distortion risk in theory	“Where AI/public wording may damage meaning”	Protect raw source	Needed because Final Theory is sensitive/high-risk	RF-0001 risk flags	Can overlap RD risk file	Keep as Final Theory-specific risk	Review-stage	No	Distortion	Strong but broad	Risk & Distortion Flags	Keep	Good control word
Unreal to Real	07_Output_Bank.md	03_Final_Theory_Source	Output hold	Stores theory outputs	“What theory becomes after mapping”	Keeps outputs separate from raw	Needed to avoid mixing raw + public	OB-0001 outputs	Risk of treating outputs as final	Mark review-stage only	Review-stage	No	Output Bank	Too generic	Theory Output Bank	Review	Needs layer name
Unreal to Real	08_Next_Theory_Actions.md	03_Final_Theory_Source	Theory next steps	Controls next theory action	“What to test next without finalizing”	Prevents premature final theory claims	Needed because words not final	NTA-0001 next actions	None major	Keep as review-stage control	Review-stage	No	Next Theory Actions	Good but narrow	Final Theory Next Actions	Keep	Clear enough
Holo Concept	Holo file 01 — exact filename not confirmed	Sourceborn Source Archive / Final Theory Source	Raw concept	Main Holo source file	“Holo as raw concept/source”	Preserve original Holo thought	Needed because Holo is part of raw invention/source language	Unknown until filename/content checked	Exact original file name not confirmed	Link to Source Archive, do not make active product yet	Needs check	No	Holo Concept	Meaning not locked	Holo Source Concept	Review	Keep raw, review naming
Holo Concept	Holo file 02 — exact filename not confirmed	Sourceborn / Final Theory	Pattern layer	Holo pattern file	“What pattern Holo is showing”	Map Holo into sequence logic	Needed to connect Holo to Sourceborn	Unknown	Exact name/content unknown	Confirm file name; classify as pattern/source	Needs check	No	Holo Pattern	Unknown public meaning	Holo Pattern Map	Review	Needs table mapping
Holo Concept	Holo file 03 — exact filename not confirmed	RD World / Sourceborn	Raw definition layer	Holo definition file	“What Holo means in my words”	Preserve definition	Needed before any public wording	Unknown	Exact name/content unknown	Keep under raw definition/source, not public	Needs check	No	Definition	Could over-polish	Raw Holo Definition	Keep / Review	Raw meaning first
Holo Concept	Holo file 04 — exact filename not confirmed	Final Theory / Sourceborn	Mystery / invention layer	Holo mystery/invention file	“Where Holo connects to unknown/invention”	Protect invention/mystery	Needed because Mystery + Invention are core	Unknown	Exact name/content unknown	Link to Mystery/Invention category	Needs check	Possible demo later, not now	Mystery / Invention	Must not be removed	Holo Mystery-Invention Map	Keep	Core category
Holo Concept	Holo file 05 — exact filename not confirmed	URR if public-facing	Risk/public-safe layer	Holo risk file	“What cannot be claimed publicly yet”	Prevent overclaim	Needed if Holo becomes public	Unknown	Exact name/content unknown	Add risk labels before external use	Needs check	No	Public-safe	Can erase raw wording	Public-Safe Hold	Review	Only for external output
Holo Concept	Holo file 06 — exact filename not confirmed	Sourceborn Next Action / Archive	Action/archive layer	Holo next action file	“Where Holo resumes later”	Controls next steps	Needed so Holo does not become random side project	Unknown	Exact name/content unknown	Keep as archive/source until approved	Needs check	No	Archive	Can feel inactive but correct	Source Archive	Keep	Holo is source material right now
Sourceborn	00_Master_Sourceborn_Index.md	Sourceborn parent	Master control	Top Sourceborn index	“Sourceborn main control file”	Holds all Sourceborn links	Needed because Sourceborn is main project identity	Accepted master index/current	None major	Keep current	Accepted / Current	No	Sourceborn	Strong identity	Sourceborn	Keep	Best current name
Sourceborn	01_Sourceborn_Project_Map.md	Sourceborn parent	Project map	Shows Sourceborn project layout	“How Sourceborn is arranged”	Navigation	Needed to keep fewer projects	Accepted project map/current	Must not become too many subprojects	Keep as single umbrella map	Accepted / Current	No	Project Map	Good	Sourceborn Project Map	Keep	Clear
Sourceborn	02_Sourceborn_Layer_Map.md	Sourceborn parent	Layer map	Shows layers under Sourceborn	“RD/URR/Sequence/Archive as layers, not separate products”	Prevents confusion	Needed because user wants fewer projects	Accepted layer map/current	Needs alignment with old Unreal files	Keep and link old files as source	Accepted / Current	No	Layer	Better than subproject	Layer Map	Keep	Fits current direction
Sourceborn	03_Source_Archive_Index.md	Sourceborn archive	Source archive	Indexes raw sources	“Where Weekend Plans, Holo, Unreal to Real raw material go”	Preserve old chats/files	Needed because Weekend Plans is archive/source	Accepted source archive/current	Risk: archive can be mistaken as active project	Mark Archive / Raw Carryover only	Accepted / Current	No	Source Archive	Strong	Source Archive Index	Keep	Correct role
Sourceborn	04_Sequence_Engine_Index.md	Sourceborn sequence engine	Sequence engine	Controls Sourceborn v0.1 sequence	“Point Zero → Source → Pattern → Intent → Evidence → Halt → Stage Addition → Mystery/Invention → Outcome → Review → Point Zero with Product → Point Zero + Product → Next Loop”	Runs sequence tests	Needed because this is Product 1 core	Expected/current sequence file	Exact final filename needs check if UI shows different name	Keep concept, check exact file name only	Accepted / Current or needs filename check	No	Sequence Engine	Good practical term	Sourceborn Sequence Engine	Keep	Main usable product direction
Sourceborn	06_AI_Verified_Response_Index.md	AI Verified Response System	Product bridge	Links URR product into Sourceborn	“AI answer checking as one Sourceborn branch”	Connects Product 2	Needed because AI Verified Response is practical output	Accepted AI verified response index/current	Multi-linked with AI Verified Response product	Keep multi-link; not a problem	Accepted / Current	No / demo bridge	AI Verified Response	Good product phrase	AI Verified Response System	Keep	Clear product outcome
Sourceborn	07_Demo_Set_Index.md	Sourceborn Demo Set	Demo index	Indexes demo cases	“Where examples prove/test the sequence”	Testing	Needed to test without changing core	SB-DEMO-001 to SB-DEMO-005	Full demo files may not all exist	Keep index; create full demo files only when approved	Accepted / Current	Yes	Demo Set	Fine	Sourceborn Demo Set	Keep	Correct testing layer
Sourceborn	08_[exact filename needs check].md	Sourceborn control layer	Unknown / needs check	File accepted but name not visible in current record	“Missing name slot in Sourceborn structure”	Unknown until checked	Needed only if it already exists	Accepted in flow, exact name not confirmed	Exact original filename missing	Check UI name; do not rename now	Accepted? / Needs exact name check	Unknown	08 file	Missing label	Needs real filename	Review	Cannot invent file name
Sourceborn	09_Next_Action_Control.md	Sourceborn parent	Next action control	Controls what happens next	“What is allowed/blocked now”	Prevents build/public drift	Needed because Sourceborn has many branches	Accepted next action control/current	None major	Keep current	Accepted / Current	No	Next Action Control	Strong	Next Action Control	Keep	Best control file
Unreal to Real - 3	02_URR_External_Test_Batch_001_Summary.md	URR / Demo Proof Cases	External test batch	Stores Batch 001 summary	“Proof/testing record for URR behavior”	Compare baseline vs verified	Needed for AI response testing evidence	Batch 001 test summary	Should not expose private method	Keep under URR/demo, not RD raw core	Complete / Controlled if already accepted	Yes, test/demo	URR External Test	Can sound like public proof	Controlled Test Batch	Review	Good internal evidence
Unreal to Real - 3	04_URR_External_Test_Batch_002_Summary.md	URR / Demo Proof Cases	External test batch	Stores Batch 002 summary	“Second controlled test record”	Shows corrected/revised answers stronger/equal	Needed for test continuity	Batch 002: 5/5 stronger/equal; controlled; no private method exposed	File number jumps from 02 to 04	Keep if accepted; numbering cleanup only if approved	Accepted / Complete / Controlled	Yes, test/demo	Batch 002	Numbering mismatch only	External Test Batch 002	Keep	Accepted controlled evidence
